Chemical_Analyte_Conc,Longitude,Latitude,Date
2000,-76.931944,41.695556,6/18/12
1000,-77.047745,41.658963,7/8/75
2300,-77.047745,41.658963,12/9/75
1000,-77.047745,41.658963,3/8/76
1700,-77.047745,41.658963,6/1/76
2500,-77.039411,41.66313,9/10/75
2600,-77.039411,41.66313,12/9/75
2500,-77.039411,41.66313,3/8/76
2400,-77.039411,41.66313,6/1/76
3900,-77.039411,41.66313,9/7/76
2500,-77.061079,41.671463,7/8/75
1300,-77.061079,41.671463,12/9/75
2100,-77.061079,41.671463,9/7/76
400,-77.064412,41.683408,8/5/75
13000,-77.064412,41.683408,12/9/75
900,-77.064412,41.683408,3/8/76
4500,-77.068857,41.692019,7/8/75
3100,-77.068857,41.692019,8/5/75
5300,-77.068857,41.692019,9/7/76
4800,-77.079968,41.745074,5/13/70
5700,-77.079968,41.745074,10/29/71
5000,-77.079968,41.745074,10/28/75
3000,-77.080246,41.797018,5/14/75
3000,-77.080246,41.797018,6/10/75
8500,-77.080246,41.797018,9/11/75
4000,-77.080246,41.797018,11/11/75
4500,-77.080246,41.797018,2/4/76
3000,-77.080246,41.797018,3/8/76
4200,-77.080246,41.797018,4/5/76
7400,-77.080246,41.797018,11/3/10
8500,-77.080246,41.797018,3/9/11
5400,-77.080246,41.797018,5/19/11
7200,-77.080246,41.797018,9/22/11
3500,-77.080246,41.797018,10/4/11
6500,-77.080246,41.797018,12/8/11
7800,-77.080246,41.797018,2/22/12
6600,-77.080246,41.797018,4/10/12
10800,-77.080246,41.797018,8/29/12
6200,-77.080246,41.797018,11/6/12
6800,-77.080246,41.797018,1/2/13
10000,-77.080246,41.797018,7/22/13
10200,-77.080246,41.797018,12/12/13
7800,-77.080246,41.797018,4/10/14
14600,-77.080246,41.797018,6/30/14
19200,-77.080246,41.797018,3/26/15
9000,-77.080246,41.797018,7/15/15
24500,-77.080246,41.797018,9/30/15
16000,-77.080246,41.797018,11/5/15
3900,-77.014688,41.790908,10/8/58
4800,-77.014688,41.790908,8/8/59
7300,-77.014688,41.790908,7/14/60
2400,-77.014688,41.790908,6/5/61
24500,-77.070523,41.811185,2/25/09
8500,-77.103303,41.841741,10/9/73
4000,-77.103303,41.841741,11/8/73
2500,-77.103303,41.841741,12/13/73
6500,-77.103303,41.841741,2/13/74
4500,-77.103303,41.841741,3/13/74
10000,-77.103303,41.841741,7/17/74
9000,-77.103303,41.841741,10/10/74
6500,-77.103303,41.841741,11/7/74
5000,-77.103303,41.841741,1/14/75
5000,-77.103303,41.841741,3/5/75
5000,-77.103303,41.841741,4/1/75
3000,-77.103303,41.841741,6/10/75
7000,-77.103303,41.841741,7/9/75
10000,-77.103303,41.841741,8/6/75
10000,-77.103303,41.841741,9/11/75
6000,-77.103303,41.841741,10/7/75
5000,-77.103303,41.841741,1/7/76
4500,-77.103303,41.841741,3/8/76
5700,-77.103303,41.841741,4/5/76
3800,-77.103303,41.841741,5/5/76
5100,-77.103303,41.841741,6/1/76
3200,-77.103303,41.841741,8/10/76
6800,-77.103303,41.841741,9/7/76
11000,-77.103303,41.841741,10/6/76
5100,-77.103303,41.841741,3/7/77
3200,-77.103303,41.841741,3/24/78
4200,-77.103303,41.841741,5/25/78
11000,-77.103303,41.841741,7/25/78
8600,-77.103303,41.841741,9/27/78
4600,-76.964963,41.815074,10/8/58
5800,-76.964963,41.815074,8/8/59
7800,-77.117748,41.880629,9/5/73
10000,-77.117748,41.880629,10/11/73
7000,-77.117748,41.880629,11/7/73
5500,-77.117748,41.880629,1/9/74
6000,-77.117748,41.880629,2/13/74
4000,-77.117748,41.880629,3/13/74
4200,-77.117748,41.880629,5/1/74
6000,-77.117748,41.880629,6/12/74
8000,-77.117748,41.880629,10/10/74
9000,-77.117748,41.880629,11/7/74
5000,-77.117748,41.880629,12/9/74
5000,-77.117748,41.880629,2/3/75
3500,-77.117748,41.880629,5/14/75
8500,-77.117748,41.880629,8/6/75
9000,-77.117748,41.880629,9/11/75
5500,-77.117748,41.880629,10/7/75
6000,-77.117748,41.880629,11/11/75
5100,-77.117748,41.880629,12/10/75
5000,-77.117748,41.880629,1/7/76
4000,-77.117748,41.880629,2/5/76
4400,-77.117748,41.880629,4/6/76
2300,-77.117748,41.880629,5/5/76
4200,-77.117748,41.880629,6/1/76
6000,-77.117748,41.880629,9/7/76
9300,-77.117748,41.880629,10/6/76
6800,-77.117748,41.880629,12/14/76
8300,-77.117748,41.880629,2/8/77
5500,-77.117748,41.880629,3/7/77
7600,-77.117748,41.880629,8/8/77
8100,-77.117748,41.880629,9/15/77
2400,-77.117748,41.880629,3/24/78
3800,-77.117748,41.880629,5/25/78
6300,-77.117748,41.880629,8/24/78
8500,-77.117748,41.880629,9/27/78
8200,-77.129415,41.908407,2/8/65
12000,-77.129415,41.908407,8/18/66
2100,-77.129415,41.908407,12/11/73
6300,-77.129415,41.908407,1/8/74
5000,-77.129415,41.908407,3/13/74
7600,-77.129415,41.908407,5/1/74
7600,-77.129415,41.908407,7/17/74
11000,-77.129415,41.908407,9/12/74
9500,-77.129415,41.908407,10/10/74
5000,-77.129415,41.908407,1/14/75
5000,-77.129415,41.908407,3/5/75
5000,-77.129415,41.908407,4/1/75
7500,-77.129415,41.908407,7/9/75
8000,-77.129415,41.908407,10/29/75
4900,-77.129415,41.908407,12/10/75
5000,-77.129415,41.908407,1/7/76
7000,-77.129415,41.908407,2/5/76
6000,-77.129415,41.908407,2/18/76
6000,-77.129415,41.908407,4/6/76
4000,-77.129415,41.908407,8/11/76
10000,-77.129415,41.908407,8/24/76
9600,-77.129415,41.908407,10/7/76
8300,-77.129415,41.908407,12/14/76
11000,-77.129415,41.908407,2/8/77
5200,-77.129415,41.908407,5/2/77
11000,-77.129415,41.908407,9/15/77
8900,-77.129415,41.908407,7/25/78
8100,-77.129415,41.908407,8/24/78
400,-77.129415,41.908407,9/28/78
5000,-77.398036,41.875905,4/19/66
4000,-77.398036,41.875905,4/13/67
8900,-77.276365,41.842573,9/5/73
12000,-77.276365,41.842573,10/10/73
8000,-77.276365,41.842573,11/7/73
2500,-77.276365,41.842573,12/12/73
5500,-77.276365,41.842573,3/15/74
7500,-77.276365,41.842573,6/14/74
7400,-77.276365,41.842573,7/18/74
4600,-77.276365,41.842573,5/6/76
4300,-77.276365,41.842573,6/1/76
8800,-77.276365,41.842573,8/10/76
13000,-77.276365,41.842573,10/7/76
9700,-77.276365,41.842573,1/12/77
10000,-77.276365,41.842573,2/8/77
5000,-77.276365,41.842573,3/7/77
5700,-77.276365,41.842573,4/13/77
4700,-77.276365,41.842573,5/2/77
9900,-77.276365,41.842573,8/8/77
4500,-77.276365,41.842573,10/27/77
5000,-77.276365,41.842573,2/9/78
2200,-77.276365,41.842573,3/24/78
4300,-77.276365,41.842573,5/25/78
7500,-77.276365,41.842573,6/28/78
8600,-77.276365,41.842573,7/25/78
8800,-77.276365,41.842573,8/24/78
11000,-77.276365,41.842573,9/28/78
8500,-77.148305,41.902296,10/19/65
12000,-77.148305,41.902296,12/7/71
6600,-77.148305,41.902296,6/21/72
7000,-77.148305,41.902296,9/5/73
10000,-77.148305,41.902296,10/9/73
5000,-77.148305,41.902296,11/6/73
1900,-77.148305,41.902296,12/11/73
5000,-77.148305,41.902296,2/13/74
3500,-77.148305,41.902296,3/13/74
5000,-77.148305,41.902296,6/12/74
8500,-77.148305,41.902296,10/10/74
10000,-77.148305,41.902296,11/7/74
5000,-77.148305,41.902296,12/9/74
4000,-77.148305,41.902296,1/14/75
5500,-77.148305,41.902296,2/3/75
4500,-77.14136,41.908407,4/1/75
7000,-77.14136,41.908407,7/9/75
5500,-77.14136,41.908407,10/7/75
5500,-77.14136,41.908407,1/7/76
4500,-77.14136,41.908407,2/5/76
5200,-77.14136,41.908407,4/6/76
4800,-77.14136,41.908407,5/6/76
5200,-77.14136,41.908407,7/13/76
8000,-77.14136,41.908407,9/8/76
6500,-77.14136,41.908407,11/10/76
8800,-77.14136,41.908407,12/14/76
8200,-77.14136,41.908407,2/8/77
5100,-77.14136,41.908407,4/13/77
4600,-77.14136,41.908407,5/2/77
6800,-77.14136,41.908407,6/9/77
8400,-77.14136,41.908407,7/6/77
4500,-77.14136,41.908407,10/27/77
2000,-77.14136,41.908407,3/24/78
9700,-77.14136,41.908407,7/25/78
2000,-77.137471,41.910629,9/26/28
4000,-77.137471,41.910629,7/20/29
1000,-77.137471,41.910629,10/26/72
7000,-77.137471,41.910629,11/9/72
5000,-77.137471,41.910629,2/18/76
13000,-77.137471,41.910629,8/23/76
152000,-77.115249,41.952574,7/7/70
13000,-77.115249,41.952574,9/22/70
5000,-77.115249,41.952574,12/17/70
5400,-77.115249,41.952574,12/17/70
9800,-77.115249,41.952574,6/16/71
7000,-77.115249,41.952574,9/22/71
16000,-77.115249,41.952574,12/7/71
6600,-77.115249,41.952574,3/29/72
9100,-77.115249,41.952574,9/5/73
9100,-77.115249,41.952574,10/9/73
5000,-77.115249,41.952574,11/6/73
2100,-77.115249,41.952574,12/11/73
4500,-77.115249,41.952574,3/13/74
3000,-77.115249,41.952574,4/2/74
10000,-77.115249,41.952574,10/11/74
8000,-77.115249,41.952574,11/7/74
4500,-77.115249,41.952574,1/14/75
5000,-77.115249,41.952574,3/5/75
5500,-77.115249,41.952574,4/1/75
7500,-77.115249,41.952574,7/9/75
10000,-77.115249,41.952574,8/6/75
6000,-77.115249,41.952574,1/7/76
5500,-77.115249,41.952574,2/5/76
6000,-77.115249,41.952574,2/18/76
6000,-77.115249,41.952574,4/14/76
5100,-77.115249,41.952574,5/6/76
4800,-77.115249,41.952574,7/13/76
5300,-77.115249,41.952574,8/11/76
10000,-77.115249,41.952574,8/24/76
10000,-77.115249,41.952574,2/8/77
8300,-77.115249,41.952574,6/9/77
10000,-77.115249,41.952574,9/15/77
5400,-77.115249,41.952574,2/9/78
4300,-77.115249,41.952574,5/25/78
8900,-77.115249,41.952574,7/25/78
8800,-77.115249,41.952574,9/28/78
9900,-77.115249,41.952574,5/6/09
9600,-77.115249,41.952574,7/7/09
9300,-77.115249,41.952574,4/8/10
11700,-77.115249,41.952574,6/23/10
11400,-77.115249,41.952574,11/3/10
9100,-77.115249,41.952574,1/11/11
8200,-77.115249,41.952574,3/9/11
5800,-77.115249,41.952574,5/19/11
8900,-77.115249,41.952574,7/12/11
8200,-77.115249,41.952574,9/22/11
1200,-77.115249,41.952574,10/26/11
8000,-77.115249,41.952574,2/22/12
9600,-77.115249,41.952574,11/6/12
7500,-77.115249,41.952574,1/2/13
8100,-77.115249,41.952574,5/1/13
11700,-77.115249,41.952574,9/3/13
19100,-77.115249,41.952574,12/12/13
18200,-77.115249,41.952574,11/17/14
16800,-77.115249,41.952574,1/12/15
20900,-77.115249,41.952574,3/26/15
20100,-77.115249,41.952574,9/30/15
13000,-77.115249,41.952574,12/9/15
11000,-77.115249,41.952574,2/8/16
15000,-77.115249,41.952574,8/1/16
21000,-77.276397,41.842445,7/28/10
5000,-77.082777,41.730833,9/16/97
2300,-77.0675,41.678055,6/18/12
1990,-77.0675,41.678055,6/19/06
4000,-77.0675,41.678055,9/16/97
2000,-77.031944,41.653888,6/18/12
7400,-77.064722,41.999722,5/15/12
8000,-77.115833,41.957777,6/18/12
7630,-77.115833,41.957777,6/22/06
9000,-77.115833,41.957777,9/23/97
6700,-77.081944,41.805,6/18/12
15900,-77.060833,41.805833,6/18/12
12900,-77.060833,41.805833,6/19/06
17000,-77.060833,41.805833,9/22/97
7330,-77.081944,41.805,6/19/06
10000,-77.081944,41.805,9/22/97
5400,-77.082777,41.730833,6/18/12
4830,-77.082777,41.730833,6/19/06
1460,-77.031944,41.653888,6/15/06
1000,-77.031944,41.653888,9/16/97
2000,-76.931944,41.695555,6/18/12
2530,-76.931944,41.695555,6/15/06
1000,-76.931944,41.695555,9/15/97
7700,-77.225555,41.856388,6/18/12
6980,-77.225555,41.856388,6/22/06
8000,-77.225555,41.856388,9/17/97
11400,-77.069166,41.6775,6/18/12
9310,-77.069166,41.6775,6/15/06
14000,-77.069166,41.6775,9/16/97
9700,-77.101944,41.873333,6/18/12
8100,-77.101944,41.873333,6/19/06
4300,-77.039722,41.663055,6/18/12
4220,-77.039722,41.663055,6/15/06
5000,-77.039722,41.663055,9/15/97
9600,-77.234722,41.856111,6/18/12
12200,-77.234722,41.856111,6/22/06
24000,-77.234722,41.856111,9/17/97
2000,-76.9375,41.685555,6/18/12
780,-76.9375,41.685555,6/15/06
500,-76.9375,41.685555,9/15/97
20600,-77.276397,41.842445,10/17/13
14300,-77.276397,41.842445,7/17/13
7100,-77.276397,41.842445,4/24/13
8800,-77.276397,41.842445,1/24/13
11700,-77.276397,41.842445,9/18/12
14400,-77.276397,41.842445,7/24/12
8900,-77.276397,41.842445,5/22/12
7800,-77.276397,41.842445,3/21/12
6100,-77.276397,41.842445,1/11/12
5000,-77.276397,41.842445,10/26/11
2400,-76.93187,41.694482,9/19/12
500,-76.93187,41.694482,7/25/12
500,-76.93187,41.694482,5/22/12
500,-76.93187,41.694482,3/21/12
500,-76.93187,41.694482,1/11/12
500,-76.93187,41.694482,10/26/11
5100,-76.93187,41.694482,7/28/10
1800,-76.93187,41.694482,10/17/13
1300,-76.93187,41.694482,7/17/13
2000,-76.93187,41.694482,4/24/13
2000,-76.93187,41.694482,1/24/13
21000,-77.293131,41.857518,7/28/10
5000,-77.293131,41.857518,10/26/11
6100,-77.293131,41.857518,1/11/12
7800,-77.293131,41.857518,3/21/12
8900,-77.293131,41.857518,5/22/12
14400,-77.293131,41.857518,7/24/12
11700,-77.293131,41.857518,9/18/12
8800,-77.293131,41.857518,1/24/13
7100,-77.293131,41.857518,4/24/13
14300,-77.293131,41.857518,7/17/13
20600,-77.293131,41.857518,10/17/13
17000,-77.293131,41.857518,2/4/14
10200,-77.293131,41.857518,4/22/14
14200,-77.293131,41.857518,7/8/14
19100,-77.293131,41.857518,10/22/14
5100,-76.914157,41.709307,7/28/10
2400,-76.914157,41.709307,9/19/12
1300,-76.914157,41.709307,7/17/13
1800,-76.914157,41.709307,10/17/13
1300,-76.914157,41.709307,2/6/14
1200,-76.914157,41.709307,4/23/14
1700,-76.914157,41.709307,10/23/14
500,-76.914157,41.709307,10/26/11
500,-76.914157,41.709307,1/11/12
500,-76.914157,41.709307,3/21/12
500,-76.914157,41.709307,5/22/12
500,-76.914157,41.709307,7/25/12
2000,-76.914157,41.709307,1/24/13
2000,-76.914157,41.709307,4/24/13
2000,-76.93187,41.694482,10/26/11